"question","prediction","references"
"What is happening in the audio?","Metal clinking and food sizzling on a pan, people talking nearby as dishes clack","Dishes cling together then a man begins to speak
Metal rumbles followed by a kid giggles then more metal rumbling followed by a guy speaking
Pots and pans clash together as a child laughs
Objects continually beat onto a hard surface
Loud, rapid clanking followed by brief speech"
"What is happening in the audio?","Air rushing followed by hissing and ticking sounds with intermittent squeaking and clicking","Water is sprayed across a hard surface
Someone sprays liquid onto a hard surface
Water is sprayed across a firm surface
A liquid is sprayed onto a hard surface
Someone sprays a liquid onto a hard surface"
"What is happening in the audio?","Someone snoring and then a man speaking followed by another person talking while someone else is typing on","A person snores loudly multiple times at a close distance
A person snores hilariously while someone laughs
A person is snoring with people laughing.
A person snores hilariously as someone laughs
Someone snores while a person laughs"
"What is happening in the audio?","Dogs barking and growling followed by a squeaky toy being played with","A dog barks and whimpers
Small dogs growl, bark and yip.
Whippering and grunting from a group of young pups
A dog whimpers and barks
Dogs bark and whimper"
"What is happening in the audio?","Wind blowing and then a vehicle moving followed by two men talking with background traffic sounds and then more","A woman speaks in a fast tone with a male
People speak in a closed space
Multiple people speak
Multiple people speak as vehicle horns blow
Multiple people speak as vehicle horns blow"
"What is happening in the audio?","Someone talks and then a duck quacks twice while water splashes and waves g","A bird chirps followed by a door bell ringing that causes a woman to gasp and the music plays
Birds chirp then a doorbell rings and a woman sighs when a doorbell rings
A bird chirp followed by a door bell that leads to a woman gasping and then some music plays
Birds chirp followed by some dings, a woman gasping, and some music
A bell chimes quietly while a bird chirps and a woman gasps as ominous music plays"
"What is happening in the audio?","Several bells are clanging loudly and continuously with a slight echo effect present before fading","A church bell rings several times
A bell rings out loudly
A bell rings out loudly
A large bell rings
A large bell rings and echoes"
"What is happening in the audio?","Drilling and hammering noises with a man speaking then stopping abruptly followed by another","Loud clanking and banging with brief male speech
A machine clanks and thumps and a male speaks
A machine runs haltingly and then an adult male talks
A sewing machine runs slowly then a man speaks
Humming and vibrations of a small machine with a man speaking"
"What is happening in the audio?","Music plays and then a bursting sound occurs followed by water splashes with birds tweeting in","Water quietly rushes by while birds chirp in the background
Wind blows and a stream of water flows nearby
A door slides shut, wind blows, and birds chirp
A door slides shut amid light wind and chirping birds
Wind gusts near a stream as birds chirp"
"What is happening in the audio?","Race car driving on a track with wind blowing and engines revving as people talk far away followed","Vehicle engines race around a track as a man commentates
Vehicle engines accelerate as a man commentates on an intercom
Several cars move nearby while people talk
Motorcycles pass by as a man speaks into a loudspeaker
Motors sputter over an indistinct conversation"
"What is happening in the audio?","Food frying followed by a woman speaking then more food fryng and clanking occurs","Food is moved around in a dish before a woman speaks
Something rustling followed by a woman speaks and dishes move
Food is moved around in a dish then a woman speaks
Someone moves food around in dishes and speaks
Some rustling and a woman speaks"
"What is happening in the audio?","Engine running, people talking and laughing, vehicle driving away slowly with screeching tires","A small engine spits as it runs
A diesel truck engine runs continuously
A diesel truck engine idles outside
An engine runs loudly
A diesel truck engine runs steadily"
"What is happening in the audio?","The male is speaking and people are laughing then the male speaks again while music plays in the","A man speaks as water trickles down a stream
A man speaks while water trickles and flows
A man talks nearby and another man talks far away while some liquid flows
Water trickles down as men speak
Some men converse while water bubbles in the background"
"What is happening in the audio?","Crinkling with a woman speaking followed by more crinkling and speech from another person, then","People speak and laugh as a child speaks
Several people talk and laugh followed by someone coughing
Some kids speak followed by coughing and then more speaking
Several people talk and laugh and a boy caught deeply
People speak and children laugh"
"What is happening in the audio?","Someone whistles a melody followed by another person whistling faster and louder","A person is whistling a tune
A person is whistling
A person is whistling a tune
Someone whistles a tune very smoothly
A meandering tune is whistled"
"What is happening in the audio?","Man speaking and then music playing briefly followed by more speech from a different person and then some light laugh","A vehicle accelerates squealing tires
Engines run and fade into the distance
A vehicle accelerates squealing tires
A vehicle accelerates and squeals tires
Humming of a powerful passing engine speeding by"
"What is happening in the audio?","Humming followed by a few knocks then rustling as music plays faintly in the background and","Water splashes and a door squeaks
A toilet door squeaks as it is opened
Water drips and a door squeaks
Dripping water with toilet flush and squeak
A toilet flushes and water drains"
"What is happening in the audio?","Stamping and speech followed by laughter and a horse neighs softly as birds tweet","A horse runs while two women talk
A woman yells and speaks as birds chirp in the distance.
A camera rustles around as birds chirp and women speak
A tapping occurs and a girl speaks
A woman yells and fidgets over insect noises"
"What is happening in the audio?","Steam hisses and a train whistle blows loudly nearby as metal clanks","A steam engine runs and whistles as it passes by
A whistle blows as a train chugs by
A train chugs nearby while blowing a horn
A train chugs along as its steam whistle screeches loudly and it moves on the track
A steam train moves along a set of tracks and blows a horn"
"What is happening in the audio?","Some liquid flows and then a man speaks over it. He says something afterward as well.","A muffled toilet flushes and the water drains
A toilet flushes and water drains
A toilet flushes and water drains
A toilet flushes once
A toilet flushes and water drains"
"What is happening in the audio?","Someone snores loudly followed by a man laughing and another person talking then another man tal","Banging metal, then crinkling paper, followed by a woman mumbling and a man grunting
Someone shuffles around objects and sighs
A door opens and plastic is crumpled
A clang followed by some plastic rustling
Paper rustles as objects bang and clatter"
"What is happening in the audio?","An engine idles and then revs up slightly as wind blows by loudly nearby several people","An engine increases in power as it runs
An aircraft making a sustained, high-pitched engine noise
An engine buzzing consistently
A high pitched engine runs
An aircraft engine runs"
"What is happening in the audio?","Steam hissing and a man speaking to someone else who responds with a grunt followed by","A man speaks as a vehicle engine idles
A man speaks as a vehicle engine idles
A man speaks with a low rumble in the background
Two adult men speak over an engine running
An adult male speaks over low engine noise"
